name	description	organism	scientificName	sourceName	taxId	orderKey
galGal6	Mar. 2018 (GRCg6a/galGal6)	Chicken	Gallus gallus	Genome Reference Consortium	9031	3313
galGal5	Dec 2015 (Gallus_gallus-5.0/galGal5)	Chicken	Gallus gallus	ICGC Gallus_gallus-5.0 (GCA_000002315.3)	9031	3314
galGal4	Nov. 2011 (ICGSC Gallus_gallus-4.0/galGal4)	Chicken	Gallus gallus	ICGSC Gallus_gallus-4.0 (GCA_000002315.2)	9031	3315
galGal3	May 2006 (WUGSC 2.1/galGal3)	Chicken	Gallus gallus	Chicken Genome Sequencing Consortium May 2006 release	9031	3316
galGal2	Feb. 2004 (WUGSC 1.0/galGal2)	Chicken	Gallus gallus	Chicken Genome Sequencing Consortium Feb. 2004 release	9031	3317
panTro6	Jan. 2018 (Clint_PTRv2/panTro6)	Chimp	Pan troglodytes	University of Washington	9598	3325
panTro5	May 2016 (Pan_tro 3.0/panTro5)	Chimp	Pan troglodytes	Chimpanzee Sequencing and Analysis Consortium	9598	3326
panTro4	Feb. 2011 (CSAC 2.1.4/panTro4)	Chimp	Pan troglodytes	CSAC Pan_troglodytes-2.1.4 (GCA_000001515.4)	9598	3327
panTro3	Oct. 2010 (CGSC 2.1.3/panTro3)	Chimp	Pan troglodytes	CGSC 2.1.3 (GCA_000001515.3)	9598	3328
panTro2	Mar. 2006 (CGSC 2.1/panTro2)	Chimp	Pan troglodytes	Washington University Build 2 Version 1	9598	3329
panTro1	Nov. 2003 (CGSC 1.1/panTro1)	Chimp	Pan troglodytes	CGSC Build 1 Version 1 Arachne assembly	9598	3330
criGriChoV2	Jun. 2017 (CHOK1S_HZDv1/criGriChoV2)	Chinese hamster	Cricetulus griseus	Eagle Genomics Ltd	10029	3348
criGriChoV1	Aug. 2011 (CHO K1 cell line/criGriChoV1)	Chinese hamster	Cricetulus griseus	Beijing Genomics Institute	10029	3349
criGri1	Jul. 2013 (C_griseus_v1.0/criGri1)	Chinese hamster	Cricetulus griseus	Beijing Genomics Institution-Shenzhen	10029	3350
manPen1	Aug 2014 (M_pentadactyla-1.1.1/manPen1)	Chinese pangolin	Manis pentadactyla	Washington University (WashU) GCA_000738955.1	143292	3355
latCha1	Aug. 2011 (Broad/latCha1)	Coelacanth	Latimeria chalumnae	Broad LatCha1 (GCA_000225785.1)	7897	3610
bosTau9	Apr. 2018 (ARS-UCD1.2/bosTau9)	Cow	Bos taurus	USDA ARS	9913	3626
bosTau8	Jun. 2014 (Bos_taurus_UMD_3.1.1/bosTau8)	Cow	Bos taurus	University of Maryland Bos_taurus_UMD_3.1.1	9913	3627
bosTau7	Oct. 2011 (Baylor Btau_4.6.1/bosTau7)	Cow	Bos taurus	Btau_4.6.1 (NCBI project 12555, accession GCA_000003205.4)	9913	3628
bosTau6	Nov. 2009 (Bos_taurus_UMD_3.1/bosTau6)	Cow	Bos taurus	UMD_3.1 (NCBI project 10708, accession GCA_000003055.3)	9913	3629
bosTau4	Oct. 2007 (Baylor 4.0/bosTau4)	Cow	Bos taurus	Baylor Release 4.0	9913	3632
bosTau3	Aug. 2006 (Baylor 3.1/bosTau3)	Cow	Bos taurus	Baylor Release 3.1	9913	3633
bosTau2	Mar. 2005 (Baylor 2.0/bosTau2)	Cow	Bos taurus	Baylor Btau_2.0	9913	3634
macFas5	Jun. 2013 (Macaca_fascicularis_5.0/macFas5)	Crab-eating macaque	Macaca fascicularis	Washington University (WashU) GCA_000364345.1	9541	3705
droAna2	Aug. 2005 (Agencourt prelim/droAna2)	D. ananassae	Drosophila ananassae	Agencourt 1 August 2005	7217	4014
droAna1	July 2004 (TIGR/droAna1)	D. ananassae	Drosophila ananassae	TIGR 15 July 2004	7217	4015
droEre1	Aug. 2005 (Agencourt prelim/droEre1)	D. erecta	Drosophila erecta	Agencourt 1 Aug 2005	7220	4035
droGri1	Aug. 2005 (Agencourt prelim/droGri1)	D. grimshawi	Drosophila grimshawi	Agencourt 1 Aug 2005	7222	4050
dm6	Aug. 2014 (BDGP Release 6 + ISO1 MT/dm6)	D. melanogaster	Drosophila melanogaster	The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics (GCA_000001215.4)	7227	4067
dm3	Apr. 2006 (BDGP R5/dm3)	D. melanogaster	Drosophila melanogaster	BDGP Release 5	7227	4068
dm2	Apr. 2004 (BDGP R4/dm2)	D. melanogaster	Drosophila melanogaster	BDGP v. 4 / DHGP v. 3.2	7227	4069
dm1	Jan. 2003 (BDGP R3/dm1)	D. melanogaster	Drosophila melanogaster	BDGP v. 3	7227	4070
droMoj2	Aug. 2005 (Agencourt prelim/droMoj2)	D. mojavensis	Drosophila mojavensis	Agencourt 1 August 2005	7230	4079
droMoj1	Aug. 2004 (Agencourt prelim/droMoj1)	D. mojavensis	Drosophila mojavensis	Agencourt 11 Aug 2004	7230	4080
droPer1	Oct. 2005 (Broad/droPer1)	D. persimilis	Drosophila persimilis	Broad 28 Oct. 2005	7234	4085
dp3	Nov. 2004 (FlyBase 1.03/dp3)	D. pseudoobscura	Drosophila pseudoobscura	FlyBase Release 1.03	7237	4094
dp2	Aug. 2003 (Baylor freeze1/dp2)	D. pseudoobscura	Drosophila pseudoobscura	Baylor HGSC Freeze 1	7237	4095
droSec1	Oct. 2005 (Broad/droSec1)	D. sechellia	Drosophila sechellia	Broad 28 Oct. 2005	7238	4105
droSim1	Apr. 2005 (WUGSC mosaic 1.0/droSim1)	D. simulans	Drosophila simulans	WUSTL version 1.0	7240	4110
droVir2	Aug. 2005 (Agencourt prelim/droVir2)	D. virilis	Drosophila virilis	Agencourt 1 August 2005	7244	4124
droVir1	July 2004 (Agencourt prelim/droVir1)	D. virilis	Drosophila virilis	Agencourt 12 July 2004	7244	4125
droYak2	Nov. 2005 (WUGSC 7.1/droYak2)	D. yakuba	Drosophila yakuba	WUSTL version 2.0	7245	4134
droYak1	Apr. 2004 (WUGSC 1.0/droYak1)	D. yakuba	Drosophila yakuba	WUSTL version 1.0	7245	4135
canFam6	Oct. 2020 (Dog10K_Boxer_Tasha/canFam6)	Dog	Canis lupus familiaris	Dog Genome Sequencing Consortium	9615	4660
canFam5	May 2019 (UMICH_Zoey_3.1/canFam5)	Dog	Canis lupus familiaris	University of Michigan	9615	4661
canFam4	Mar. 2020 (UU_Cfam_GSD_1.0/canFam4)	Dog	Canis lupus familiaris	Uppsala University	9615	4662
canFam3	Sep. 2011 (Broad CanFam3.1/canFam3)	Dog	Canis lupus familiaris	Broad CanFam3.1 (GCA_000002285.2)	9615	4663
canFam2	May 2005 (Broad/canFam2)	Dog	Canis lupus familiaris	Broad Institute v. 2.0	9615	4664
canFam1	July 2004 (Broad/canFam1)	Dog	Canis lupus familiaris	Broad Institute v. 1.0	9615	4665
turTru2	Oct. 2011 (Baylor Ttru_1.4/turTru2)	Dolphin	Tursiops truncatus	Baylor College of Medicine Ttru_1.4 (NCBI project 20365, GCA_000151865.2, WGS ABRN02)	9739	4674
eboVir3	Sierra Leone 2014 (G3683/KM034562.1/eboVir3)	Ebola virus	Filoviridae ebolavirus	West Africa 01 June 2014 EBOV/G3683/KM034562.1	186538	5058
loxAfr3	Jul. 2009 (Broad/loxAfr3)	Elephant	Loxodonta africana	Broad Institute loxAfr3 (NCBI project 12569, AAGU03000000)	9785	5518
calMil1	Dec. 2013 (Callorhinchus_milii-6.1.3/calMil1)	Elephant shark	Callorhinchus milii	Institute of Molecular and Cell Biology, Singapore	7868	5525
musFur1	Apr. 2011 (MusPutFur1.0/musFur1)	Ferret 	Mustela putorius furo	Ferret Genome Sequencing Consortium	9669	6315
fr3	Oct. 2011 (FUGU5/fr3)	Fugu	Takifugu rubripes	Fugu Genome Sequencing Consortium - FUGU5 (NCBI project 1434, GCA_000180615.2)	31033	6863
fr2	Oct. 2004 (JGI 4.0/fr2)	Fugu	Takifugu rubripes	JGI V4.0	31033	6864
fr1	Aug. 2002 (JGI 3.0/fr1)	Fugu	Takifugu rubripes	JGI V3.0	31033	6865
thaSir1	Jun. 2015 (Thamnophis_sirtalis-6.0/thaSir1)	Garter snake	Thamnophis sirtalis	The Genome Institute at Washington University School of Medicine (WUGSC)	35019	7000
nomLeu3	Oct. 2012 (GGSC Nleu3.0/nomLeu3)	Gibbon	Nomascus leucogenys	Gibbon Genome Sequencing Consortium 	61853	7413
nomLeu2	Jun. 2011 (GGSC Nleu1.1/nomLeu2)	Gibbon	Nomascus leucogenys	Gibbon Genome Sequencing Consortium Nleu1.1 (NCBI project 13975, GCA_000146795.2, WGS ADFV01)	61853	7414
nomLeu1	Jan. 2010 (GGSC Nleu1.0/nomLeu1)	Gibbon	Nomascus leucogenys	GGSC (NCBI project 13975, accession GCA_000146795.1)	61853	7415
aquChr2	Oct. 2014 (aquChr-1.0.2/aquChr2)	Golden eagle	Aquila chrysaetos canadensis	WashU	216574	7664
rhiRox1	Oct. 2014 (Rrox_v1/rhiRox1)	Golden snub-nosed monkey	Rhinopithecus roxellana	Novogene	61622	7673
gorGor6	Aug. 2019 (Kamilah_GGO_v0/gorGor6)	Gorilla	Gorilla gorilla gorilla	University of Washington	9595	7680
gorGor5	Mar. 2016 (GSMRT3/gorGor5)	Gorilla	Gorilla gorilla gorilla	UNIVERSITY OF WASHINGTON	9595	7681
gorGor4	Dec 2014 (gorGor4.1/gorGor4)	Gorilla	Gorilla gorilla gorilla	Wellcome Trust Sanger Institute Dec 2014 (NCBI project 31265, GCA_000151905.1)	9595	7682
gorGor3	May 2011 (gorGor3.1/gorGor3)	Gorilla	Gorilla gorilla gorilla	Wellcome Trust Sanger Institute May 2011 (NCBI project 31265, GCA_000151905.1)	9595	7683
chlSab2	Mar. 2014 (Chlorocebus_sabeus 1.1/chlSab2)	Green monkey	Chlorocebus sabaeus	Vervet Genomics Consortium GCA_000409795.2	60711	7779
cavPor3	Feb. 2008 (Broad/cavPor3)	Guinea pig	Cavia porcellus	Broad Institute cavPor3	10141	7859
neoSch1	Jun. 2017 (ASM220157v1/neoSch1)	Hawaiian monk seal	Neomonachus schauinslandi	Johns Hopkins University	29088	8055
eriEur2	May 2012 (EriEur2.0/eriEur2)	Hedgehog	Erinaceus europaeus	Broad Institute EriEur2.0	9365	8314
eriEur1	June 2006 (Broad/eriEur1)	Hedgehog	Erinaceus europaeus	Broad Institute eriEur1 (Draft_v1, NCBI project 12575)	9365	8315
equCab3	Jan. 2018 (EquCab3.0/equCab3)	Horse	Equus caballus	University of Louisville	9796	8683
equCab2	Sep. 2007 (Broad/equCab2)	Horse	Equus caballus	Broad Institute EquCab2	9796	8684
equCab1	Jan. 2007 (Broad/equCab1)	Horse	Equus caballus	Broad Institute equCab1 (1.0)	9796	8685
hs1	Jan. 2022 (T2T CHM13v2.0/hs1)	Human	Homo sapiens	Telomere to telomere (T2T) assembly of haploid CHM13 + chrY (GCA_009914755.4)	9606	45
hg38	Dec. 2013 (GRCh38/hg38)	Human	Homo sapiens	GRCh38 Genome Reference Consortium Human Reference 38 (GCA_000001405.15)	9606	50
hg19	Feb. 2009 (GRCh37/hg19)	Human	Homo sapiens	GRCh37 Genome Reference Consortium Human Reference 37 (GCA_000001405.1)	9606	60
hg18	Mar. 2006 (NCBI36/hg18)	Human	Homo sapiens	NCBI Build 36.1	9606	70
hg17	May 2004 (NCBI35/hg17)	Human	Homo sapiens	NCBI Build 35	9606	80
hg16	July 2003 (NCBI34/hg16)	Human	Homo sapiens	NCBI Build 34	9606	90
dipOrd1	Jul. 2008 (Broad/dipOrd1)	Kangaroo rat	Dipodomys ordii	Broad Institute dipOrd1 (NCBI project 20385, ABRO01000000)	10020	11010
petMar3	Dec. 2017 (Pmar_germline 1.0/petMar3)	Lamprey	Petromyzon marinus	University of Kentucky	7757	12018
petMar2	Sep. 2010 (WUGSC 7.0/petMar2)	Lamprey	Petromyzon marinus	GSC Washington University School of Medicine	7757	12019
petMar1	Mar. 2007 (WUGSC 3.0/petMar1)	Lamprey	Petromyzon marinus	WUSTL v.3.0 (March 2007)	7757	12020
braFlo1	Mar. 2006 (JGI 1.0/braFlo1)	Lancelet	Branchiostoma floridae	JGI v.1.0 (March 2006)	7739	12025
anoCar2	May 2010 (Broad AnoCar2.0/anoCar2)	Lizard	Anolis carolinensis	Broad Institute of MIT and Harvard AnoCar 2.0 (GCA_000090745.1)	28377	12444
anoCar1	Feb. 2007 (Broad/anoCar1)	Lizard	Anolis carolinensis	Broad Institute AnoCar (1.0)	28377	12445
galVar1	Jun. 2014 (G_variegatus-3.0.2/galVar1)	Malayan flying lemur	Galeopterus variegatus	Washington University (WashU)	482537	13060
